id,production_run_id,workstation_id,downtime_category,downtime_reason,start_timestamp,end_timestamp,duration_minutes,root_cause,corrective_action
1,1,9,Planned Maintenance,Scheduled PM,2024-01-01 10:30:00,2024-01-01 10:56:45,26.8,Process variation,Operator retrained
2,1,5,Material,Part shortage,2024-01-01 07:57:00,2024-01-01 08:15:37,18.6,Supplier issue,Settings adjusted
3,1,4,Planned Maintenance,Calibration,2024-01-01 06:15:00,2024-01-01 07:04:05,49.1,Design flaw,Temporary fix applied
4,2,3,Planned Maintenance,Lubrication,2024-01-01 20:32:00,2024-01-01 21:22:35,50.6,Process variation,Escalated to engineering
5,2,4,Equipment Failure,Sensor malfunction,2024-01-01 15:23:00,2024-01-01 15:52:46,29.8,Supplier issue,Operator retrained
6,2,2,Planned Maintenance,Calibration,2024-01-01 20:19:00,2024-01-01 20:43:51,24.9,Design flaw,Settings adjusted
7,2,10,Quality Hold,Rework backlog,2024-01-01 18:59:00,2024-01-01 19:04:12,5.2,Supplier issue,Part replaced
8,2,8,Changeover,Tool change,2024-01-01 14:06:00,2024-01-01 14:50:48,44.8,Operator error,Root cause pending
9,2,6,Planned Maintenance,Scheduled PM,2024-01-01 20:54:00,2024-01-01 21:33:58,40,Worn component,Temporary fix applied
10,3,12,Equipment Failure,Hydraulic leak,2024-01-01 22:33:00,2024-01-01 22:47:49,14.8,Supplier issue,Part replaced
11,3,2,Material,Part shortage,2024-01-01 23:29:00,2024-01-01 23:35:01,6,Unknown,Temporary fix applied
12,3,3,Operator,Training,2024-01-02 04:50:00,2024-01-02 05:16:08,26.1,Supplier issue,Temporary fix applied
13,3,8,Equipment Failure,Hydraulic leak,2024-01-02 04:19:00,2024-01-02 04:34:38,15.6,Unknown,Operator retrained
14,3,7,Planned Maintenance,Calibration,2024-01-01 22:14:00,2024-01-01 23:04:26,50.4,Operator error,Root cause pending
15,3,10,Quality Hold,Rework backlog,2024-01-01 23:51:00,2024-01-01 23:56:57,6,Operator error,Temporary fix applied
16,4,13,Operator,Safety incident,2024-01-01 12:52:00,2024-01-01 13:07:03,15.1,Supplier issue,Operator retrained
17,4,13,Equipment Failure,Pneumatic failure,2024-01-01 09:36:00,2024-01-01 10:30:08,54.1,Design flaw,Settings adjusted
18,4,14,Quality Hold,Inspection hold,2024-01-01 11:47:00,2024-01-01 11:59:53,12.9,Operator error,Temporary fix applied
19,4,18,Equipment Failure,PLC fault,2024-01-01 09:17:00,2024-01-01 09:33:31,16.5,Process variation,Root cause pending
20,4,20,Equipment Failure,Sensor malfunction,2024-01-01 09:07:00,2024-01-01 09:48:38,41.6,Worn component,Root cause pending
21,4,19,Planned Maintenance,Scheduled PM,2024-01-01 08:14:00,2024-01-01 08:46:23,32.4,Operator error,Settings adjusted
22,5,22,Changeover,Tool change,2024-01-01 15:38:00,2024-01-01 16:00:54,22.9,Process variation,Escalated to engineering
23,5,15,Material,Part shortage,2024-01-01 15:49:00,2024-01-01 16:18:05,29.1,Unknown,Temporary fix applied
24,5,20,Material,Material quality issue,2024-01-01 16:52:00,2024-01-01 17:15:08,23.1,Process variation,Operator retrained
25,5,16,Changeover,Tool change,2024-01-01 19:01:00,2024-01-01 19:29:18,28.3,Unknown,Part replaced
26,5,19,Equipment Failure,Pneumatic failure,2024-01-01 15:44:00,2024-01-01 16:18:41,34.7,Operator error,Temporary fix applied
27,5,19,Equipment Failure,Motor failure,2024-01-01 21:05:00,2024-01-01 22:00:11,55.2,Process variation,Settings adjusted
28,6,20,Equipment Failure,Robot error,2024-01-02 03:58:00,2024-01-02 04:47:48,49.8,Operator error,Temporary fix applied
29,6,16,Equipment Failure,PLC fault,2024-01-01 23:23:00,2024-01-01 23:39:18,16.3,Unknown,Operator retrained
30,6,15,Changeover,Model changeover,2024-01-02 03:41:00,2024-01-02 04:24:05,43.1,Unknown,Part replaced
31,7,33,Equipment Failure,Pneumatic failure,2024-01-01 11:55:00,2024-01-01 12:42:42,47.7,Worn component,Operator retrained
32,7,28,Changeover,Fixture swap,2024-01-01 10:57:00,2024-01-01 11:37:55,40.9,Process variation,Part replaced
