id,production_run_id,workstation_id,product_id,unit_sequence,defect_type,defect_code,defect_description,severity,detected_timestamp,is_reworkable,was_reworked
1,1,4,3,53,Cosmetic,COS-9554,Scratch,Minor,2024-01-01 06:24:28,1,1
2,1,4,2,64,Fit/Finish,FIT-5001,Flush issue,Major,2024-01-01 10:38:32,1,1
3,1,5,1,28,Fit/Finish,FIT-9719,Panel misalignment,Moderate,2024-01-01 07:04:11,1,1
4,1,3,2,182,Weld Defect,WLD-2052,Crack in weld,Minor,2024-01-01 12:33:02,1,1
5,1,12,1,248,Fit/Finish,FIT-4064,Gap too wide,Minor,2024-01-01 07:52:29,1,1
6,1,6,2,277,Weld Defect,WLD-8323,Incomplete weld,Minor,2024-01-01 07:47:21,1,1
7,2,4,2,72,Fit/Finish,FIT-4534,Door sag,Critical,2024-01-01 20:10:46,1,1
8,2,12,2,173,Cosmetic,COS-5891,Dent,Minor,2024-01-01 20:22:19,1,1
9,2,5,1,141,Fit/Finish,FIT-9302,Panel misalignment,Major,2024-01-01 17:03:54,1,1
10,2,2,1,77,Fit/Finish,FIT-3383,Gap too wide,Minor,2024-01-01 15:50:12,1,1
11,2,9,3,44,Weld Defect,WLD-9002,Crack in weld,Moderate,2024-01-01 17:48:48,1,1
12,2,1,3,218,Cosmetic,COS-3997,Scratch,Minor,2024-01-01 18:30:28,1,1
13,2,7,3,146,Fit/Finish,FIT-9998,Door sag,Minor,2024-01-01 18:58:06,1,0
14,2,7,2,29,Weld Defect,WLD-9415,Porosity,Moderate,2024-01-01 17:02:19,0,0
15,2,4,2,203,Fit/Finish,FIT-5344,Flush issue,Moderate,2024-01-01 16:50:20,1,1
16,2,3,2,151,Weld Defect,WLD-9515,Crack in weld,Moderate,2024-01-01 14:42:50,0,0
17,3,9,2,177,Cosmetic,COS-3916,Scratch,Moderate,2024-01-02 02:07:15,1,1
18,3,4,3,66,Cosmetic,COS-3338,Scuff mark,Moderate,2024-01-02 04:29:08,1,1
19,3,9,1,233,Cosmetic,COS-1214,Stain,Minor,2024-01-02 00:27:24,1,1
20,3,3,1,215,Cosmetic,COS-4937,Dent,Major,2024-01-02 03:09:36,0,0
21,3,12,2,6,Fit/Finish,FIT-8296,Gap too wide,Minor,2024-01-01 23:21:48,1,1
22,3,2,1,322,Fit/Finish,FIT-4299,Door sag,Minor,2024-01-02 01:29:50,1,1
23,3,9,1,202,Fit/Finish,FIT-3035,Door sag,Moderate,2024-01-01 23:45:33,1,0
24,3,3,3,170,Weld Defect,WLD-7414,Weld spatter,Minor,2024-01-02 02:58:56,1,1
25,3,10,1,187,Cosmetic,COS-5325,Dent,Moderate,2024-01-02 00:01:42,1,1
26,3,7,3,5,Cosmetic,COS-8975,Dent,Major,2024-01-02 02:29:14,0,0
27,3,4,1,122,Cosmetic,COS-8200,Stain,Minor,2024-01-01 23:42:44,1,1
28,3,12,1,199,Fit/Finish,FIT-1960,Panel misalignment,Major,2024-01-01 23:13:58,0,0
29,4,18,1,240,Cosmetic,COS-4455,Scuff mark,Minor,2024-01-01 11:24:12,1,1
30,4,13,2,211,Cosmetic,COS-1544,Scratch,Moderate,2024-01-01 11:11:57,1,1
31,4,15,1,166,Paint Defect,PNT-2876,Dirt inclusion,Major,2024-01-01 12:11:41,1,1
32,4,21,1,82,Cosmetic,COS-8648,Scuff mark,Minor,2024-01-01 06:58:58,1,1
33,5,20,3,260,Cosmetic,COS-7322,Stain,Minor,2024-01-01 15:15:28,1,0
34,5,20,3,202,Paint Defect,PNT-2241,Color mismatch,Moderate,2024-01-01 19:12:28,1,1
35,5,13,3,229,Cosmetic,COS-1920,Stain,Minor,2024-01-01 20:10:49,1,1
